segmento_id,punto_id,nome_linea,x_studs,z_studs
17,19,Ferrovia Asti-Genova,140921.91,104805.67
17,20,Ferrovia Asti-Genova,140887.76,104831.66
18,0,Ferrovia Asti-Genova,139184.79,104915.15
18,1,Ferrovia Asti-Genova,139122.05,104892.57
18,2,Ferrovia Asti-Genova,139061.8,104878.11
18,3,Ferrovia Asti-Genova,139012.2,104870.81
19,0,Ferrovia Asti-Genova,130174.14,102092.87
19,1,Ferrovia Asti-Genova,130223.15,102095.35
20,0,Ferrovia Asti-Genova,130556.15,102198.15
20,1,Ferrovia Asti-Genova,130587.53,102221.13
20,2,Ferrovia Asti-Genova,130642.64,102277.9
20,3,Ferrovia Asti-Genova,130760.65,102589.63
20,4,Ferrovia Asti-Genova,130995.52,103076.04
20,5,Ferrovia Asti-Genova,131009.04,103104.02
20,6,Ferrovia Asti-Genova,131036.0,103151.9
21,0,Ferrovia Asti-Genova,131779.49,103436.57
21,1,Ferrovia Asti-Genova,131824.42,103453.31
21,2,Ferrovia Asti-Genova,131870.06,103475.39
21,3,Ferrovia Asti-Genova,131887.25,103485.17
22,0,Ferrovia Asti-Genova,135125.34,104006.41
22,1,Ferrovia Asti-Genova,135120.33,103952.11
22,2,Ferrovia Asti-Genova,135121.23,103896.38
22,3,Ferrovia Asti-Genova,135121.36,103888.27
22,4,Ferrovia Asti-Genova,135121.93,103883.05
22,5,Ferrovia Asti-Genova,135127.72,103830.04
22,6,Ferrovia Asti-Genova,135143.33,103768.74
22,7,Ferrovia Asti-Genova,135162.5,103700.1
22,8,Ferrovia Asti-Genova,135190.2,103609.07
22,9,Ferrovia Asti-Genova,135196.77,103577.79
22,10,Ferrovia Asti-Genova,135204.46,103541.17
22,11,Ferrovia Asti-Genova,135214.0,103479.59
22,12,Ferrovia Asti-Genova,135224.59,103405.16
22,13,Ferrovia Asti-Genova,135230.36,103262.5
22,14,Ferrovia Asti-Genova,135231.46,103235.32
23,0,Ferrovia Asti-Genova,134829.53,102571.75
23,1,Ferrovia Asti-Genova,134804.7,102561.53
23,2,Ferrovia Asti-Genova,134776.23,102552.0
24,0,Ferrovia Torino-Genova,145896.43,90567.75
24,1,Ferrovia Torino-Genova,145897.97,90444.68
25,0,Ferrovia Asti-Genova,142806.25,104745.46
25,1,Ferrovia Asti-Genova,142682.93,104628.98
26,0,Ferrovia Genova-Pisa,155660.7,112799.07
26,1,Ferrovia Genova-Pisa,155703.39,112817.56
26,2,Ferrovia Genova-Pisa,155749.66,112833.82
26,3,Ferrovia Genova-Pisa,155903.05,112878.98
26,4,Ferrovia Genova-Pisa,156021.66,112912.98
27,0,Ferrovia Genova-Pisa,156021.66,112912.98
27,1,Ferrovia Genova-Pisa,156113.7,112943.47
27,2,Ferrovia Genova-Pisa,156186.85,112963.2
27,3,Ferrovia Genova-Pisa,156278.14,112983.02
28,0,,474.81,-5629.94
28,1,,406.94,-5541.73
28,2,,341.76,-5457.01
28,3,,80.97,-5118.05
28,4,,-9.11,-4987.04
28,5,,-47.3,-4932.4
28,6,,-85.43,-4872.5
28,7,,-164.88,-4739.12
28,8,,-200.85,-4672.27
28,9,,-260.45,-4540.63
28,10,,-346.65,-4366.04
28,11,,-592.97,-3873.59
28,12,,-848.72,-3329.0
28,13,,-958.24,-3093.81
28,14,,-1015.92,-2977.8
28,15,,-1119.32,-2770.2
28,16,,-1193.86,-2619.51
28,17,,-1280.53,-2449.22
28,18,,-1329.12,-2340.06
28,19,,-1371.85,-2246.26
29,0,,-132.49,285.29
29,1,,-136.18,292.48
29,2,,-255.97,528.05
29,3,,-257.92,531.83
29,4,,-266.93,549.59
29,5,,-282.22,577.07
29,6,,-292.22,592.97
29,7,,-297.42,601.19
30,0,,149578.23,109379.8
30,1,,149593.67,109400.57
30,2,,149606.44,109416.24
30,3,,149613.27,109424.62
30,4,,149626.29,109440.14
30,5,,149643.54,109458.69
30,6,,149653.08,109468.86
30,7,,149666.11,109481.62
30,8,,149679.78,109494.4
30,9,,149696.88,109510.02
30,10,,149732.91,109541.98
30,11,,149796.59,109597.4
31,0,,-2779.76,663.24
31,1,,-2846.52,810.91
31,2,,-2878.91,882.7
31,3,,-2905.98,953.24
31,4,,-2932.52,1034.32
31,5,,-2945.93,1105.6
31,6,,-2956.57,1177.17
31,7,,-2957.33,1264.87
31,8,,-2951.07,1334.15
31,9,,-2938.16,1414.21
31,10,,-2906.25,1501.81
31,11,,-2880.3,1562.44
31,12,,-2857.8,1603.67
31,13,,-2807.73,1686.07
31,14,,-2760.26,1741.59
31,15,,-2696.52,1803.58
31,16,,-2637.99,1853.3
31,17,,-2589.08,1884.83
31,18,,-2539.87,1910.43
31,19,,-2505.67,1927.71
31,20,,-2449.4,1951.51
32,0,,-1436.75,9356.69
32,1,,-1405.64,9401.16
32,2,,-1376.59,9442.67
32,3,,-1356.99,9473.9
32,4,,-1337.77,9507.35
32,5,,-1320.86,9539.95
32,6,,-1304.68,9574.35
32,7,,-1287.24,9617.08
32,8,,-1271.58,9663.06
32,9,,-1256.34,9716.99
32,10,,-1244.74,9774.31
32,11,,-1237.83,9821.52
32,12,,-1234.66,9869.36
32,13,,-1233.73,9965.81
33,0,Ferrovia Asti-Nizza Monferrato,65987.55,40742.78
33,1,Ferrovia Asti-Nizza Monferrato,65758.69,40617.36
33,2,Ferrovia Asti-Nizza Monferrato,65748.32,40611.61
33,3,Ferrovia Asti-Nizza Monferrato,65719.53,40595.69
33,4,Ferrovia Asti-Nizza Monferrato,65666.31,40565.92
33,5,Ferrovia Asti-Nizza Monferrato,65588.49,40523.6
33,6,Ferrovia Asti-Nizza Monferrato,65533.07,40492.65
33,7,Ferrovia Asti-Nizza Monferrato,65483.52,40461.57
33,8,Ferrovia Asti-Nizza Monferrato,65396.29,40400.39
33,9,Ferrovia Asti-Nizza Monferrato,65239.25,40287.33
33,10,Ferrovia Asti-Nizza Monferrato,64799.81,39972.39
33,11,Ferrovia Asti-Nizza Monferrato,64650.38,39864.23
33,12,Ferrovia Asti-Nizza Monferrato,64589.6,39828.63
33,13,Ferrovia Asti-Nizza Monferrato,64515.68,39787.72
33,14,Ferrovia Asti-Nizza Monferrato,64386.48,39717.49
33,15,Ferrovia Asti-Nizza Monferrato,64301.14,39674.06
33,16,Ferrovia Asti-Nizza Monferrato,64217.44,39630.2
33,17,Ferrovia Asti-Nizza Monferrato,64014.77,39516.26
33,18,Ferrovia Asti-Nizza Monferrato,63818.18,39403.72
33,19,Ferrovia Asti-Nizza Monferrato,63780.98,39384.89
33,20,Ferrovia Asti-Nizza Monferrato,63735.29,39364.92
